,lemma,count,pos
317,price,13,n
318,sell,13,n
319,gaygayoma,13,n
320,spot,13,n
321,break,13,n
322,married,13,a
323,grandmother,13,n
324,dance,13,n
325,neither,13,n
326,cock,13,n
327,instead,13,r
328,vine,13,n
329,lumabet,13,n
330,sleep,13,n
331,cross,13,n
332,negro,13,n
333,sprang,12,n
334,chicken,12,n
335,adasen,12,n
336,wind,12,n
337,knife,12,n
338,band,12,n
339,next_morning,12,v
340,sugar-cane,12,n
341,across,12,n
342,trouble,12,n
343,invite,12,n
344,chase,12,n
345,rush,12,n
346,jumped,12,n
347,horn,12,n
348,enemy,12,n
349,inside,12,n
350,crab,12,n
351,giant,12,n
352,often,12,r
353,everywhere,12,r
354,horse,12,n
355,sound,12,n
356,stay,12,n
357,broke,11,n
358,marry,11,n
359,close,11,r
360,felt,11,n
361,agree,11,n
362,carefully,11,r
363,visit,11,n
364,present,11,n
365,beat,11,n
366,balatama,11,n
367,hungry,11,n
368,drink,11,n
369,anything,11,n
370,number,11,n
371,centavo,11,n
372,thus,11,r
373,brother-in-law,11,n
374,boat,11,n
375,alligator,11,n
376,barber,11,n
377,fall,11,n
378,spoke,11,n
379,yard,11,n
380,magical_power,11,n
381,room,11,n
382,meat,11,n
383,step,11,n
384,palace,11,n
385,hard,11,a
386,anting-anting,11,n
387,hill,11,n
388,sword,11,n
389,lightning,10,v
390,creature,10,n
391,aponibalagen,10,n
392,notice,10,n
393,story,10,n
394,widow,10,n
395,direction,10,n
396,ugly,10,r
397,lead,10,n
398,huge,10,a
399,manila,10,n
400,twenty-five,10,a
401,raise,10,n
402,crop,10,n
403,face,10,n
404,struggle,10,n
405,kind,10,n
406,licalibutan,10,n
407,smoke,10,n
408,since,10,n
409,inquire,10,n
410,hide,10,n
411,fine,10,n
412,prepared,10,a
413,point,10,n
414,flew_away,10,n
415,wing,10,v
416,general,10,a
417,macabebes,10,n
418,keep,10,v
419,long_journey,10,n
420,kaboniyan,10,n
421,mindanao,10,n
422,desire,10,n
423,bullet,10,n
424,obey,10,n
425,discover,10,n
426,color,10,n
427,spider,10,n
428,guard,10,n
429,thousand,10,n
430,tire,10,n
431,along,10,n
432,offer,9,n
433,willing,9,a
434,whole,9,a
435,cooked,9,n
436,rule,9,n
437,swim,9,n
438,father_mother,9,n
439,bulanawan,9,n
440,indarapatra,9,n
441,dress,9,n
442,surprise,9,n
443,leap,9,n
444,surround,9,n
445,neighbor,9,n
446,walk_along,9,n
447,half,9,n
448,spaniard,9,n
449,different,9,a
450,although,9,n
451,charm,9,n
452,weapon,9,n
453,battle,9,n
454,snare,9,n
455,allow,9,v
456,bade,9,n
457,whose,9,n
458,held,9,n
459,meet,9,n
460,move,9,n
461,demon,9,n
462,remember,9,v
463,hatchet,9,n
464,something,9,n
465,bone,9,n
466,pull,9,n
467,journey,9,n
468,skin,9,n
469,kadayadawan,9,n
470,pound,9,n
471,terror,9,n
472,statue,9,n
473,bury,9,n
474,marriage,9,n
475,slowly,9,r
476,startle,9,n
477,shine,9,n
478,lily,9,r
479,sing,9,v
480,wonderful,9,n
481,catalina,9,n
482,gate,8,n
483,bride,8,n
484,dalonagan,8,n
485,rise,8,n
486,finger,8,n
487,chewed,8,n
488,listen,8,n
489,darkness,8,n
490,glad,8,n
491,grown,8,n
492,sought,8,n
493,tinguian,8,a
494,cruel,8,n
495,asleep,8,n
496,spread,8,n
497,fleet,8,n
498,shook,8,n
499,sweet,8,n
500,balete,8,n
501,punish,8,n
502,hung,8,n
503,clear,8,a
504,servant,8,n
505,climbed,8,n
506,someone,8,n
507,cook,8,n
508,shrimp,8,n
509,cloth,8,n
510,presidente,8,n
511,steal,8,n
512,teeth,8,n
513,greatly,8,r
514,cave,8,n
515,pour,8,n
516,sooner,8,n
517,instantly,8,r
518,army,8,n
519,green,8,a
520,couple,8,n
521,consent,8,n
522,surprised,8,a
523,care,8,n
524,cane,8,n
525,arose,8,n
526,except,8,n
527,beheld,8,n
528,hundred,8,v
529,bean,8,n
530,behind,8,n
531,grove,8,n
532,miss,8,n
533,burn,8,n
534,danepan,8,n
535,pasig,8,n
536,courtier,8,n
537,pleased,8,a
538,goat,8,n
539,continued,8,a
540,bridge,7,n
541,object,7,n
542,almost,7,r
543,storm,7,n
544,spanish,7,a
545,dreadful,7,n
546,surely,7,r
547,harbor,7,n
548,person,7,n
549,branch,7,n
550,squash,7,n
551,race,7,n
552,tall,7,n
553,cause,7,n
554,razor,7,n
555,dayapan,7,n
556,built,7,n
557,straight,7,n
558,beauty,7,n
559,soft,7,a
560,dalagan,7,n
561,heart,7,n
562,explain,7,n
563,slightest,7,n
564,cebu,7,n
565,sharpen,7,v
566,juanita,7,n
567,outside,7,n
568,squeeze,7,n
569,copper,7,n
570,rage,7,n
571,love,7,n
572,picked,7,n
573,hawk,7,n
574,feast,7,n
575,living,7,n
576,death,7,n
577,pretty_girl,7,n
578,string,7,n
579,fasten,7,n
580,look_around,7,n
581,pari,7,n
582,subject,7,n
583,nose,7,r
584,wine,7,n
585,komow,7,n
586,eagerly,7,r
587,handsome,7,n
588,belt,7,n
589,thread,7,n
590,priest,7,n
591,fast_could,7,n
592,wedding,7,n
593,mouse,7,n
594,wall,7,n
595,summon,7,n
596,proud,7,n
597,pericos,7,n
598,window,7,n
599,fought,7,n
600,free,7,a
601,destroy,7,n
602,anyone,7,n
603,join,7,n
604,grain,7,n
605,magsingal,7,n
606,forever,7,r
607,please,7,n
608,depart,7,n
609,heaven,7,n
610,early_morning,7,v
611,luzon,6,n
612,loud,6,n
