,X0,X1,Nation,language_family
1649,36.00709,16.299706,Polish,slavic
1650,21.234358,-14.800493,German,germanic
1651,-9.7779455,-6.390165,Japanese,east_asia
1652,16.541008,-18.25231,Celtic,celtic
1653,0.56317437,35.87486,Dutch,germanic
1654,10.712454,-0.5523426,Greek,hellenic
1655,-16.529696,1.9929801,North_American_Native,native_american
1656,-9.858497,-12.108115,Indian,hindustani
1657,33.079994,8.42775,French,italic
1658,0.6138169,-25.070559,German,germanic
1659,-35.509155,2.8963232,Greek,hellenic
1660,6.9529305,-17.048178,German,germanic
1661,16.22201,3.6999571,French,italic
1662,-20.140938,-35.125587,Celtic,celtic
1663,-21.258547,-36.011353,Irish,celtic
1664,-19.481842,29.116287,North_American_Native,native_american
1665,28.829046,-14.352919,Spanish,italic
1666,-16.295584,25.24742,Indian,hindustani
1667,10.824674,20.602074,Scottish,celtic
1668,-24.213371,21.119213,Australian_Ethnic,austronesian
1669,1.4444071,9.528846,Serbian,slavic
1670,-13.19583,-38.864605,Scandinavian,germanic
1671,2.931571,-13.468165,Finnish,uralic
1672,2.9276597,1.7167792,French,italic
1673,-8.770231,4.156888,Australian_Ethnic,austronesian
1674,7.6980333,26.55536,Hungarian,urgic
1675,2.4526696,-11.487675,German,germanic
1676,-12.145256,-6.888126,North_American_Native,native_american
1677,11.818735,-10.98541,French,italic
1678,-6.8796453,-21.624254,Indian,hindustani
1679,5.978485,12.569736,Italian,italic
1680,-4.107078,-1.6682171,English,germanic
1681,12.448136,-13.278299,French,italic
1682,26.190525,-31.032858,English,germanic
1683,-0.81948197,17.538065,Japanese,east_asia
1684,30.729862,14.699755,Slavic,slavic
1685,-11.659517,21.454037,Philippine,austronesian
1686,-15.848778,28.631104,South_African,bantu
1687,6.6404166,-22.21442,German,germanic
1688,-9.19948,-1.7041466,Polish,slavic
1689,-4.1491785,21.788374,Finnish,uralic
1690,-21.83014,35.189793,Chinese,east_asia
1691,7.3769374,-35.96838,Albanian,albanian
1692,13.441151,31.915257,Italian,italic
1693,17.579903,-12.9470415,North_American_Native,native_american
1694,10.774774,3.2039194,Greek,hellenic
1695,-0.6483356,11.012876,Brazilian,italic
1696,-31.913942,13.104767,North_American_Native,native_american
1697,17.023476,-15.252218,Portuguese,italic
1698,-4.40356,26.16126,North_American_Native,native_american
1699,3.7249358,8.862575,Scandinavian,germanic
1700,14.138402,-40.082832,Slavic,slavic
1701,-8.625617,19.609869,Tanzanian,bantu
1702,9.975301,1.8538272,Greek,hellenic
1703,15.782143,-20.12774,Russian,slavic
1704,39.262672,-30.04603,South_African,bantu
1705,15.938255,-7.436581,French,italic
1706,13.981381,-6.009322,French,italic
1707,-15.821529,10.673016,Celtic,celtic
1708,2.98806,10.228599,German,germanic
1709,-22.202322,-23.53753,Irish,celtic
1710,-2.0008776,3.9253483,Greek,hellenic
1711,34.276726,23.11221,Slavic,slavic
1712,-21.374126,9.961926,North_American_Native,native_american
1713,-0.75915927,-0.4704924,Korean,east_asia
1714,2.1375859,4.0476403,Greek,hellenic
1715,13.269634,6.9530063,Greek,hellenic
1716,-2.851681,9.3306875,Philippine,austronesian
1717,10.335731,-28.039288,German,germanic
1718,-5.837787,-11.221938,Portuguese,italic
1719,-6.633091,-25.304663,English,germanic
1720,-20.970518,-15.334622,Chinese,east_asia
1721,-24.751139,24.264442,Australian_Ethnic,austronesian
1722,2.2146907,7.021886,Greek,hellenic
1723,-5.4524345,-7.1828284,Chinese,east_asia
1724,-6.8197317,30.683289,North_American_Native,native_american
1725,35.337093,8.552888,French,italic
1726,3.9900322,1.6056476,Philippine,austronesian
1727,-15.657217,-6.823029,Japanese,east_asia
1728,13.434396,1.2339373,Italian,italic
1729,-12.543769,-17.23364,French,italic
1730,-29.369307,-6.276048,Arabic,semitic
1731,34.54878,23.016142,Romanian,italic
1732,-25.272938,-28.103487,Greek,hellenic
1733,-8.924687,23.885044,English,germanic
