,verb,present,cogmech,insight,time,relativ,funct,negate,quant,social,certain,affect,posemo,money,auxverb,future,discrep,humans,negemo,sad,percept,feel,family,bio,health,body,incl,motion,space,tentat,home,past,ingest,relig,number,achieve,adverb,work,friend,cause,anger,hear,pronoun,ipron,excl,leisure,preps,conj,death,inhib,see,ppron,i,anx,nonfl,sexual,swear,filler,assent,you,they
sid1660,31,24,33,9,24,52,49,5,11,19,1,26,22,6,4,4,3,1,4,2,5,4,11,15,3,9,9,14,14,3,14,3,0,0,8,11,11,8,1,3,0,0,2,1,2,3,10,2,3,3,1,1,1,2,4,3,0,0,1,0,0
sid1661,104,64,125,28,66,193,144,7,26,73,13,94,61,9,21,13,28,4,33,12,88,14,18,46,6,31,7,50,79,19,18,20,3,8,24,30,21,9,2,19,10,41,4,4,2,22,45,3,5,15,27,0,0,2,1,6,0,4,0,0,0
sid1662,4,4,7,0,12,23,21,1,11,9,4,2,2,2,0,0,1,2,0,0,1,0,2,0,0,0,1,8,3,0,0,0,0,0,0,0,2,2,0,1,0,1,4,0,0,3,3,1,0,0,0,4,0,0,1,0,0,0,0,4,0
sid1663,10,8,12,2,4,15,9,0,0,6,2,12,11,3,1,1,2,1,1,1,6,2,0,5,0,2,1,9,2,3,0,1,3,1,3,5,2,2,1,2,0,0,2,0,1,1,1,0,0,0,2,2,1,0,1,0,0,0,0,1,0
sid1664,304,191,296,65,180,506,292,30,42,250,35,213,136,8,44,28,54,48,76,10,97,16,120,114,14,54,47,138,191,32,59,69,36,7,36,88,59,34,0,24,42,20,18,18,17,43,82,25,23,32,32,0,0,6,20,15,5,7,0,0,0
sid1665,175,94,144,22,102,317,197,13,23,86,19,88,59,2,28,15,31,6,29,3,60,20,30,95,8,72,24,92,119,3,31,54,17,0,61,62,39,5,0,11,15,16,2,2,11,12,39,12,8,22,8,0,0,3,8,0,0,1,0,0,0
sid1666,64,40,93,16,53,91,55,4,9,63,23,56,43,1,9,8,13,20,13,2,29,18,10,36,1,35,8,12,29,12,2,15,0,0,1,5,16,10,3,12,6,7,7,5,0,21,9,1,6,15,4,2,2,1,2,0,0,3,1,0,0
sid1667,141,80,190,65,81,190,143,20,16,92,20,116,73,28,30,23,33,4,43,16,48,12,14,32,4,17,10,55,51,21,13,31,9,4,7,41,37,17,2,9,12,19,17,17,11,7,25,10,7,19,13,0,0,11,11,2,1,6,0,0,0
sid1668,79,45,117,31,40,112,90,8,13,38,21,91,57,3,22,10,29,5,33,15,30,9,0,36,6,20,7,34,37,15,4,14,10,4,5,9,27,5,10,12,3,11,5,3,4,5,14,9,8,6,10,2,1,9,5,2,0,2,2,0,0
sid1669,28,16,34,9,34,74,37,2,6,21,3,13,6,2,4,3,4,7,7,1,21,12,2,12,0,10,6,24,17,3,8,9,3,3,5,9,11,6,2,7,1,3,0,0,1,9,7,5,0,4,10,0,0,4,0,1,1,0,0,0,0
sid1670,42,19,41,8,33,60,39,3,2,29,11,19,8,3,13,10,11,15,11,2,14,6,6,34,6,20,5,16,11,4,0,10,8,0,2,4,14,0,0,3,4,4,0,0,1,1,6,3,2,0,3,0,0,1,1,0,0,1,0,0,0
sid1671,54,34,62,26,30,61,44,3,10,33,3,23,15,14,6,2,6,8,8,1,27,17,3,31,2,26,8,20,11,8,4,16,2,2,4,8,6,2,0,6,6,4,7,7,2,1,10,6,2,5,8,0,0,2,1,1,0,2,0,0,0
sid1672,95,44,114,20,64,150,100,7,17,61,16,127,82,3,24,16,23,3,44,8,51,12,5,27,3,17,12,34,53,11,5,28,6,6,9,43,23,19,2,14,13,24,8,8,1,11,18,3,1,18,14,0,0,14,1,1,0,3,1,0,0
sid1673,135,77,154,27,118,237,131,13,20,71,23,95,69,9,27,19,32,4,26,7,42,12,8,39,6,24,19,72,43,21,14,32,8,4,12,50,33,7,1,9,11,21,8,8,7,17,26,11,5,19,9,0,0,5,2,1,0,2,0,0,0
sid1674,8,6,18,3,5,12,14,2,4,5,3,7,5,1,1,1,3,2,2,0,2,1,1,2,0,0,2,5,4,4,1,1,2,0,1,1,3,0,0,0,2,0,0,0,1,1,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0
sid1675,14,13,12,0,8,17,9,3,2,5,2,13,7,0,0,0,0,0,6,1,9,2,0,4,1,2,3,3,6,0,1,1,1,0,0,3,1,1,0,4,4,2,0,0,1,0,4,0,1,2,6,0,0,0,1,0,0,0,0,0,0
